Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name
29,0.0046,1158,128,1,"(255, 9, 92)",#FF095C,,rug;carpet;carpeting
30,0.0044,480,44,1,"(112, 9, 255)",#7009FF,,field
31,0.0044,1172,98,0,"(8, 255, 214)",#08FFD6,,armchair
32,0.0044,1292,184,0,"(7, 255, 224)",#07FFE0,,seat
33,0.0033,1386,138,0,"(255, 184, 6)",#FFB806,,fence;fencing
34,0.0031,698,61,0,"(10, 255, 71)",#0AFF47,,desk
35,0.003,781,73,0,"(255, 41, 10)",#FF290A,,rock;stone
36,0.0027,380,43,0,"(7, 255, 255)",#07FFFF,,wardrobe;closet;press
37,0.0026,3089,302,0,"(224, 255, 8)",#E0FF08,,lamp
38,0.0024,404,37,0,"(102, 8, 255)",#6608FF,,bathtub;bathing;tub;bath;tub
39,0.0024,804,99,0,"(255, 61, 6)",#FF3D06,,railing;rail
40,0.0023,1453,153,0,"(255, 194, 7)",#FFC207,,cushion
41,0.0023,411,37,0,"(255, 122, 8)",#FF7A08,,base;pedestal;stand
42,0.0022,1440,162,0,"(0, 255, 20)",#00FF14,,box
43,0.0022,800,77,0,"(255, 8, 41)",#FF0829,,column;pillar
44,0.002,2650,298,0,"(255, 5, 153)",#FF0599,,signboard;sign
45,0.0019,549,46,0,"(6, 51, 255)",#0633FF,,chest;of;drawers;chest;bureau;dresser
46,0.0019,367,36,0,"(235, 12, 255)",#EB0CFF,,counter
47,0.0018,311,30,1,"(160, 150, 20)",#A09614,,sand
48,0.0018,1181,122,0,"(0, 163, 255)",#00A3FF,,sink
49,0.0018,287,23,1,"(140, 140, 140)",#8C8C8C,,skyscraper
50,0.0018,468,38,0,"(0250, 10, 15)",#FA0A0F,,fireplace;hearth;open;fireplace
51,0.0018,402,43,0,"(20, 255, 0)",#14FF00,,refrigerator;icebox
52,0.0018,130,12,1,"(31, 255, 0)",#1FFF00,,grandstand;covered;stand
53,0.0018,561,64,1,"(255, 31, 0)",#FF1F00,,path
54,0.0017,880,102,0,"(255, 224, 0)",#FFE000,,stairs;steps
55,0.0017,86,12,1,"(153, 255, 0)",#99FF00,,runway
56,0.0017,172,11,0,"(0, 0, 255)",#0000FF,,case;display;case;showcase;vitrine
57,0.0017,198,18,0,"(255, 71, 0)",#FF4700,,pool;table;billiard;table;snooker;table
58,0.0017,930,109,0,"(0, 235, 255)",#00EBFF,,pillow
59,0.0015,139,18,0,"(0, 173, 255)",#00ADFF,,screen;door;screen
60,0.0015,564,52,1,"(31, 0, 255)",#1F00FF,,stairway;staircase
61,0.0015,320,26,1,"(11, 200, 200)",#0BC8C8,,river
62,0.0015,261,29,1,"(255 ,82, 0)",#FF5200,,bridge;span
63,0.0014,275,22,0,"(0, 255, 245)",#00FFF5,,bookcase
64,0.0014,335,60,0,"(0, 61, 255)",#003DFF,,blind;screen
65,0.0014,792,75,0,"(0, 255, 112)",#00FF70,,coffee;table;cocktail;table
66,0.0014,395,49,0,"(0, 255, 133)",#00FF85,,toilet;can;commode;crapper;pot;potty;stool;throne
67,0.0014,1309,138,0,"(255, 0, 0)",#FF0000,,flower
68,0.0013,1112,113,0,"(255, 163, 0)",#FFA300,,book
69,0.0013,266,27,1,"(255, 102, 0)",#FF6600,,hill
70,0.0013,659,66,0,"(194, 255, 0)",#C2FF00,,bench
71,0.0012,331,31,0,"(0, 143, 255)",#008FFF,,countertop
72,0.0012,531,56,0,"(51, 255, 0)",#33FF00,,stove;kitchen;stove;range;kitchen;range;cooking;stove
73,0.0012,369,36,0,"(0, 82, 255)",#0052FF,,palm;palm;tree
74,0.0012,144,9,0,"(0, 255, 41)",#00FF29,,kitchen;island
75,0.0011,265,29,0,"(0, 255, 173)",#00FFAD,,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system
76,0.001,324,33,0,"(10, 0, 255)",#0A00FF,,swivel;chair
77,0.0009,304,27,0,"(173, 255, 0)",#ADFF00,,boat
78,0.0009,170,20,0,"(0, 255, 153)",#00FF99,,bar
79,0.0009,68,6,0,"(255, 92, 0)",#FF5C00,,arcade;machine
80,0.0009,65,8,1,"(255, 0, 255)",#FF00FF,,hovel;hut;hutch;shack;shanty
81,0.0009,248,25,0,"(255, 0, 245)",#FF00F5,,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle
82,0.0008,492,49,0,"(255, 0, 102)",#FF0066,,towel
83,0.0008,2510,269,0,"(255, 173, 0)",#FFAD00,,light;light;source
84,0.0008,440,39,0,"(255, 0, 20)",#FF0014,,truck;motortruck
85,0.0008,147,18,1,"(255, 184, 184)",#FFB8B8,,tower
86,0.0008,583,56,0,"(0, 31, 255)",#001FFF,,chandelier;pendant;pendent
87,0.0007,533,61,0,"(0, 255, 61)",#00FF3D,,awning;sunshade;sunblind
88,0.0007,1989,239,0,"(0, 71, 255)",#0047FF,,streetlight;street;lamp
89,0.0007,71,5,0,"(255, 0, 204)",#FF00CC,,booth;cubicle;stall;kiosk
90,0.0007,618,53,0,"(0, 255, 194)",#00FFC2,,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box
91,0.0007,135,12,0,"(0, 255, 82)",#00FF52,,airplane;aeroplane;plane
92,0.0007,83,5,1,"(0, 10, 255)",#000AFF,,dirt;track
93,0.0007,178,17,0,"(0, 112, 255)",#0070FF,,apparel;wearing;apparel;dress;clothes
94,0.0006,1003,104,0,"(51, 0, 255)",#3300FF,,pole
95,0.0006,182,12,1,"(0, 194, 255)",#00C2FF,,land;ground;soil
96,0.0006,452,50,0,"(0, 122, 255)",#007AFF,,bannister;banister;balustrade;balusters;handrail
97,0.0006,42,6,1,"(0, 255, 163)",#00FFA3,,escalator;moving;staircase;moving;stairway
98,0.0006,307,31,0,"(255, 153, 0)",#FF9900,,ottoman;pouf;pouffe;puff;hassock
99,0.0006,965,114,0,"(0, 255, 10)",#00FF0A,,bottle
100,0.0006,117,13,0,"(255, 112, 0)",#FF7000,,buffet;counter;sideboard
101,0.0006,354,35,0,"(143, 255, 0)",#8FFF00,,poster;posting;placard;notice;bill;card
102,0.0006,108,9,1,"(82, 0, 255)",#5200FF,,stage
103,0.0006,557,55,0,"(163, 255, 0)",#A3FF00,,van
104,0.0006,52,4,0,"(255, 235, 0)",#FFEB00,,ship
105,0.0005,99,5,0,"(8, 184, 170)",#08B8AA,,fountain
106,0.0005,57,4,1,"(133, 0, 255)",#8500FF,,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter
107,0.0005,292,31,0,"(0, 255, 92)",#00FF5C,,canopy
108,0.0005,77,9,0,"(184, 0, 255)",#B800FF,,washer;automatic;washer;washing;machine
109,0.0005,340,38,0,"(255, 0, 31)",#FF001F,,plaything;toy
110,0.0005,66,3,1,"(0, 184, 255)",#00B8FF,,swimming;pool;swimming;bath;natatorium
111,0.0005,465,49,0,"(0, 214, 255)",#00D6FF,,stool
112,0.0005,50,4,0,"(255, 0, 112)",#FF0070,,barrel;cask
113,0.0005,622,75,0,"(92, 255, 0)",#5CFF00,,basket;handbasket
114,0.0005,80,9,1,"(0, 224, 255)",#00E0FF,,waterfall;falls
115,0.0005,59,3,0,"(112, 224, 255)",#70E0FF,,tent;collapsible;shelter
116,0.0005,531,72,0,"(70, 184, 160)",#46B8A0,,bag
117,0.0005,282,30,0,"(163, 0, 255)",#A300FF,,minibike;motorbike
118,0.0005,73,7,0,"(153, 0, 255)",#9900FF,,cradle
119,0.0005,435,44,0,"(71, 255, 0)",#47FF00,,oven
120,0.0005,136,25,0,"(255, 0, 163)",#FF00A3,,ball
121,0.0005,116,24,0,"(255, 204, 0)",#FFCC00,,food;solid;food
122,0.0004,266,31,0,"(255, 0, 143)",#FF008F,,step;stair
123,0.0004,58,12,0,"(0, 255, 235)",#00FFEB,,tank;storage;tank
124,0.0004,418,83,0,"(133, 255, 0)",#85FF00,,trade;name;brand;name;brand;marque
125,0.0004,319,43,0,"(255, 0, 235)",#FF00EB,,microwave;microwave;oven
126,0.0004,1193,139,0,"(245, 0, 255)",#F500FF,,pot;flowerpot
127,0.0004,97,23,0,"(255, 0, 122)",#FF007A,,animal;animate;being;beast;brute;creature;fauna
128,0.0004,347,36,0,"(255, 245, 0)",#FFF500,,bicycle;bike;wheel;cycle
129,0.0004,52,5,1,"(10, 190, 212)",#0ABED4,,lake
130,0.0004,246,22,0,"(214, 255, 0)",#D6FF00,,dishwasher;dish;washer;dishwashing;machine
131,0.0004,108,13,0,"(0, 204, 255)",#00CCFF,,screen;silver;screen;projection;screen
132,0.0004,201,30,0,"(20, 0, 255)",#1400FF,,blanket;cover
133,0.0004,285,21,0,"(255, 255, 0)",#FFFF00,,sculpture
134,0.0004,268,27,0,"(0, 153, 255)",#0099FF,,hood;exhaust;hood
135,0.0003,1020,108,0,"(0, 41, 255)",#0029FF,,sconce
136,0.0003,1282,122,0,"(0, 255, 204)",#00FFCC,,vase
137,0.0003,528,65,0,"(41, 0, 255)",#2900FF,,traffic;light;traffic;signal;stoplight
138,0.0003,453,57,0,"(41, 255, 0)",#29FF00,,tray
139,0.0003,671,100,0,"(173, 0, 255)",#AD00FF,,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin
140,0.0003,397,44,0,"(0, 245, 255)",#00F5FF,,fan
141,0.0003,92,8,1,"(71, 0, 255)",#4700FF,,pier;wharf;wharfage;dock
142,0.0003,228,18,0,"(122, 0, 255)",#7A00FF,,crt;screen
143,0.0003,570,59,0,"(0, 255, 184)",#00FFB8,,plate
144,0.0003,217,22,0,"(0, 92, 255)",#005CFF,,monitor;monitoring;device
145,0.0003,206,19,0,"(184, 255, 0)",#B8FF00,,bulletin;board;notice;board
146,0.0003,130,14,0,"(0, 133, 255)",#0085FF,,shower
147,0.0003,178,28,0,"(255, 214, 0)",#FFD600,,radiator
148,0.0002,504,57,0,"(25, 194, 194)",#19C2C2,,glass;drinking;glass
149,0.0002,775,96,0,"(102, 255, 0)",#66FF00,,clock
150,0.0002,421,56,0,"(92, 0, 255)",#5C00FF,,flag
